Code,D_P,Description
A660,D,Lesiones iniciales por pian
A661,D,Papilomas múltiples y pian de ladilla
A662,D,Otras lesiones tempranas de piel por pian
A663,D,Hiperqueratosis del pian
A664,D,Gomas y úlceras por pian
A665,D,Gangosa
A666,D,Lesiones óseas y de articulaciones por pian
A667,D,Otras manifestaciones del pian
A668,D,Pian latente
A669,D,"Pian, no especificado"
A67,D,Pinta [carate]
A670,D,Lesiones primarias de pinta
A671,D,Lesiones intermedias de pinta
A672,D,Lesiones tardías de pinta
A673,D,Lesiones mixtas de pinta
A679,D,"Pinta, no especificada"
A68,D,Fiebre recidivante
A680,D,Fiebre recurrente transmitida por piojos
A681,D,Fiebre recurrente transmitida por garrapatas
A689,D,"Fiebre recurrente, no especificada"
A69,D,Otras infecciones por espiroquetas
A690,D,Estomatitis ulcerativa necrotizante
A691,D,Otras infecciones de Vincent
A692,D,Enfermedad de Lyme
A6920,D,"Enfermedad de Lyme, no especificada"
A6921,D,Meningitis por enfermedad de Lyme
A6922,D,Otros trastornos neurológicos en la enfermedad de Lyme
A6923,D,Artritis debida a enfermedad de Lyme
A6929,D,Otras afecciones asociadas con enfermedad de Lyme
A698,D,Otras infecciones por espiroquetas especificadas
A699,D,"infección por espiroquetas, no especificada"
A70,D,Clamidia psittaci infecciones
A71,D,Tracoma
A710,D,Etapa inicial de tracoma
A711,D,Fase activa de tracoma
A719,D,"Tracoma, no especificado"
A74,D,Otras enfermedades causadas por clamidias
A740,D,Conjuntivitis por clamidias
A748,D,Otras enfermedades por clamidias
A7481,D,Peritonitis por clamidias
A7489,D,Otras enfermedades por clamidias
A749,D,"Infección por clamidias, no especificada"
A75,D,Fiebre tifoidea
A750,D,"Tifus epidémico transmitido por piojos, debido a Rickettsia prowazekii"
A751,D,Tifus recrudescente [Brill enfermedad]
A752,D,Tifus debido a Rickettsia typhi
A753,D,Tifus por Rickettsia tsutsugamushi
A759,D,"Tifus, no especificado"
A77,D,Fiebre maculosa [rickettsiosis transmitida por garrapatas]
A770,D,Fiebre maculosa por Rickettsia rickettsii
A771,D,Fiebre maculosa por Rickettsia conorii
A772,D,Fiebre maculosa por Rickettsia siberica
A773,D,Fiebre maculosa por Rickettsia australis
A774,D,Erliquiosis
A7740,D,"Erliquiosis, no especificada"
A7741,D,Erliquiosis chafeensis [E. Chafeensis]
A7749,D,Otras erliquiosis
A778,D,Otras fiebres maculosas
A779,D,"Fiebre maculosa, no especificada"
A78,D,Fiebre Q
A79,D,Otras rickettsiosis
A790,D,Fiebre de las trincheras
A791,D,Rickettsiosis debida a Rickettsia akari
A798,D,Otras rickettsiosis especificadas
A7981,D,Rickettsiosis debida a Ehrlichia sennetsu
A7982,D,Anaplasmosis [A. phagocytophilum]
A7989,D,Otras rickettsiosis especificadas
A799,D,"Rickettsiosis, no especificada"
A80,D,Poliomielitis aguda
A800,D,"Poliomielitis paralítica aguda, asociada a vacuna"
A801,D,"Poliomielitis paralítica aguda, virus natural, importado"
A802,D,"Poliomielitis paralítica aguda, virus natural, autóctono"
A803,D,"Otra poliomielitis paralítica aguda, y las no especificadas"
A8030,D,"Poliomielitis paralítica aguda, no especificada"
A8039,D,Otros tipos de poliomielitis paralítica aguda
A804,D,Poliomielitis no paralítica aguda
A809,D,"Poliomielitis aguda, no especificada"
A81,D,Infecciones por virus atípico del sistema nervioso central
A810,D,Enfermedad de Creutzfeldt-Jakob
A8100,D,"Enfermedad de Creutzfeldt-Jakob, no especificada"
A8101,D,Variante de enfermedad de Creutzfeldt-Jakob
A8109,D,Otra enfermedad de Creutzfeldt-Jakob
A811,D,Panencefalitis esclerosante subaguda
A812,D,Leucoencefalopatía multifocal progresiva
A818,D,Otras infecciones por virus atípicos del sistema nervioso central
A8181,D,Kuru
A8182,D,Síndrome de Gerstmann-Sträussler-Scheinker
A8183,D,Insomnio familiar fatal
A8189,D,Otras infecciones por virus atípico del sistema nervioso central
A819,D,Infección viral atípica del sistema nervioso central
A82,D,Rabia
A820,D,Rabia silvestre
A821,D,Rabia urbana
A829,D,"Rabia, no especificada"
A83,D,Encefalitis viral transmitida por mosquitos
A830,D,Encefalitis japonesa
A831,D,Encefalitis equina occidental
A832,D,Encefalitis equina oriental
A833,D,Encefalitis de San Luis
A834,D,Encefalitis de Australia
A835,D,Encefalitis de California
A836,D,Enfermedad por virus Rocío
A838,D,Otras encefalitis virales transmitidas por mosquitos
A839,D,"Encefalitis viral transmitida por mosquitos, no especificada"
A84,D,Encefalitis viral transmitida por garrapatas
A840,D,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa]
A841,D,Encefalitis centroeuropea transmitida por garrapatas
A848,D,Otras encefalitis virales transmitidas por garrapatas
A8481,D,Enfermedad por virus de Powassan
A8489,D,Otras encefalitis virales transmitidas por garrapatas
A849,D,"Encefalitis viral transmitida por garrapatas, no especificada"
A85,D,"Otras encefalitis virales, no clasificadas bajo otro concepto"
A850,D,Encefalitis enteroviral
A851,D,Encefalitis por adenovirus
